"","regija","leto","spol","stevilo"
"153","Koroška",2002,"Živorojeni - moški",345
"154","Koroška",2002,"Živorojeni - ženske",322
"155","Koroška",2003,"Živorojeni - moški",295
"156","Koroška",2003,"Živorojeni - ženske",349
"157","Koroška",2004,"Živorojeni - moški",339
"158","Koroška",2004,"Živorojeni - ženske",345
"159","Koroška",2005,"Živorojeni - moški",326
"160","Koroška",2005,"Živorojeni - ženske",277
"161","Koroška",2006,"Živorojeni - moški",331
"162","Koroška",2006,"Živorojeni - ženske",341
"163","Koroška",2007,"Živorojeni - moški",353
"164","Koroška",2007,"Živorojeni - ženske",329
"165","Koroška",2008,"Živorojeni - moški",395
"166","Koroška",2008,"Živorojeni - ženske",392
"167","Koroška",2009,"Živorojeni - moški",412
"168","Koroška",2009,"Živorojeni - ženske",380
"169","Koroška",2010,"Živorojeni - moški",357
"170","Koroška",2010,"Živorojeni - ženske",344
"171","Koroška",2011,"Živorojeni - moški",360
"172","Koroška",2011,"Živorojeni - ženske",353
"173","Koroška",2012,"Živorojeni - moški",369
"174","Koroška",2012,"Živorojeni - ženske",357
"175","Koroška",2013,"Živorojeni - moški",348
"176","Koroška",2013,"Živorojeni - ženske",330
"177","Koroška",2014,"Živorojeni - moški",364
"178","Koroška",2014,"Živorojeni - ženske",354
"179","Koroška",2015,"Živorojeni - moški",332
"180","Koroška",2015,"Živorojeni - ženske",330
"181","Koroška",2016,"Živorojeni - moški",331
"182","Koroška",2016,"Živorojeni - ženske",355
"183","Koroška",2017,"Živorojeni - moški",353
"184","Koroška",2017,"Živorojeni - ženske",359
"185","Savinjska",1995,"Živorojeni - moški",1292
"186","Savinjska",1995,"Živorojeni - ženske",1205
"187","Savinjska",1996,"Živorojeni - moški",1285
"188","Savinjska",1996,"Živorojeni - ženske",1225
"189","Savinjska",1997,"Živorojeni - moški",1223
"190","Savinjska",1997,"Živorojeni - ženske",1205
"191","Savinjska",1998,"Živorojeni - moški",1311
"192","Savinjska",1998,"Živorojeni - ženske",1126
"193","Savinjska",1999,"Živorojeni - moški",1299
"194","Savinjska",1999,"Živorojeni - ženske",1149
"195","Savinjska",2000,"Živorojeni - moški",1188
"196","Savinjska",2000,"Živorojeni - ženske",1185
"197","Savinjska",2001,"Živorojeni - moški",1221
"198","Savinjska",2001,"Živorojeni - ženske",1088
"199","Savinjska",2002,"Živorojeni - moški",1195
"200","Savinjska",2002,"Živorojeni - ženske",1121
"201","Savinjska",2003,"Živorojeni - moški",1143
"202","Savinjska",2003,"Živorojeni - ženske",1114
"203","Savinjska",2004,"Živorojeni - moški",1151
"204","Savinjska",2004,"Živorojeni - ženske",1183
"205","Savinjska",2005,"Živorojeni - moški",1267
"206","Savinjska",2005,"Živorojeni - ženske",1108
"207","Savinjska",2006,"Živorojeni - moški",1305
"208","Savinjska",2006,"Živorojeni - ženske",1134
"209","Savinjska",2007,"Živorojeni - moški",1247
"210","Savinjska",2007,"Živorojeni - ženske",1301
"211","Savinjska",2008,"Živorojeni - moški",1441
"212","Savinjska",2008,"Živorojeni - ženske",1336
"213","Savinjska",2009,"Živorojeni - moški",1427
"214","Savinjska",2009,"Živorojeni - ženske",1320
"215","Savinjska",2010,"Živorojeni - moški",1439
"216","Savinjska",2010,"Živorojeni - ženske",1393
"217","Savinjska",2011,"Živorojeni - moški",1388
"218","Savinjska",2011,"Živorojeni - ženske",1380
"219","Savinjska",2012,"Živorojeni - moški",1427
"220","Savinjska",2012,"Živorojeni - ženske",1341
"221","Savinjska",2013,"Živorojeni - moški",1310
"222","Savinjska",2013,"Živorojeni - ženske",1355
"223","Savinjska",2014,"Živorojeni - moški",1396
"224","Savinjska",2014,"Živorojeni - ženske",1287
"225","Savinjska",2015,"Živorojeni - moški",1323
"226","Savinjska",2015,"Živorojeni - ženske",1232
"227","Savinjska",2016,"Živorojeni - moški",1248
"228","Savinjska",2016,"Živorojeni - ženske",1285
"229","Savinjska",2017,"Živorojeni - moški",1239
"230","Savinjska",2017,"Živorojeni - ženske",1186
"231","Zasavska",1995,"Živorojeni - moški",207
"232","Zasavska",1995,"Živorojeni - ženske",216
"233","Zasavska",1996,"Živorojeni - moški",196
"234","Zasavska",1996,"Živorojeni - ženske",163
"235","Zasavska",1997,"Živorojeni - moški",199
"236","Zasavska",1997,"Živorojeni - ženske",190
"237","Zasavska",1998,"Živorojeni - moški",177
"238","Zasavska",1998,"Živorojeni - ženske",198
"239","Zasavska",1999,"Živorojeni - moški",185
"240","Zasavska",1999,"Živorojeni - ženske",176
"241","Zasavska",2000,"Živorojeni - moški",203
"242","Zasavska",2000,"Živorojeni - ženske",158
"243","Zasavska",2001,"Živorojeni - moški",185
"244","Zasavska",2001,"Živorojeni - ženske",177
"245","Zasavska",2002,"Živorojeni - moški",200
"246","Zasavska",2002,"Živorojeni - ženske",168
"247","Zasavska",2003,"Živorojeni - moški",169
"248","Zasavska",2003,"Živorojeni - ženske",163
"249","Zasavska",2004,"Živorojeni - moški",186
"250","Zasavska",2004,"Živorojeni - ženske",175
"251","Zasavska",2005,"Živorojeni - moški",184
"252","Zasavska",2005,"Živorojeni - ženske",164
"253","Zasavska",2006,"Živorojeni - moški",202
"254","Zasavska",2006,"Živorojeni - ženske",185
"255","Zasavska",2007,"Živorojeni - moški",231
"256","Zasavska",2007,"Živorojeni - ženske",218
"257","Zasavska",2008,"Živorojeni - moški",240
"258","Zasavska",2008,"Živorojeni - ženske",188
"259","Zasavska",2009,"Živorojeni - moški",241
"260","Zasavska",2009,"Živorojeni - ženske",223
"261","Zasavska",2010,"Živorojeni - moški",219
"262","Zasavska",2010,"Živorojeni - ženske",195
"263","Zasavska",2011,"Živorojeni - moški",221
"264","Zasavska",2011,"Živorojeni - ženske",204
"265","Zasavska",2012,"Živorojeni - moški",229
"266","Zasavska",2012,"Živorojeni - ženske",177
"267","Zasavska",2013,"Živorojeni - moški",214
"268","Zasavska",2013,"Živorojeni - ženske",195
"269","Zasavska",2014,"Živorojeni - moški",198
"270","Zasavska",2014,"Živorojeni - ženske",211
"271","Zasavska",2015,"Živorojeni - moški",294
"272","Zasavska",2015,"Živorojeni - ženske",253
"273","Zasavska",2016,"Živorojeni - moški",307
"274","Zasavska",2016,"Živorojeni - ženske",269
"275","Zasavska",2017,"Živorojeni - moški",285
"276","Zasavska",2017,"Živorojeni - ženske",287
"277","Posavska",1995,"Živorojeni - moški",365
"278","Posavska",1995,"Živorojeni - ženske",295
"279","Posavska",1996,"Živorojeni - moški",326
"280","Posavska",1996,"Živorojeni - ženske",335
"281","Posavska",1997,"Živorojeni - moški",361
"282","Posavska",1997,"Živorojeni - ženske",322
"283","Posavska",1998,"Živorojeni - moški",286
"284","Posavska",1998,"Živorojeni - ženske",303
"285","Posavska",1999,"Živorojeni - moški",325
"286","Posavska",1999,"Živorojeni - ženske",305
"287","Posavska",2000,"Živorojeni - moški",330
"288","Posavska",2000,"Živorojeni - ženske",301
"289","Posavska",2001,"Živorojeni - moški",319
"290","Posavska",2001,"Živorojeni - ženske",308
"291","Posavska",2002,"Živorojeni - moški",345
"292","Posavska",2002,"Živorojeni - ženske",300
"293","Posavska",2003,"Živorojeni - moški",323
"294","Posavska",2003,"Živorojeni - ženske",260
"295","Posavska",2004,"Živorojeni - moški",293
"296","Posavska",2004,"Živorojeni - ženske",312
"297","Posavska",2005,"Živorojeni - moški",280
"298","Posavska",2005,"Živorojeni - ženske",300
"299","Posavska",2006,"Živorojeni - moški",318
"300","Posavska",2006,"Živorojeni - ženske",338
"301","Posavska",2007,"Živorojeni - moški",303
"302","Posavska",2007,"Živorojeni - ženske",284
"303","Posavska",2008,"Živorojeni - moški",348
"304","Posavska",2008,"Živorojeni - ženske",343
"305","Posavska",2009,"Živorojeni - moški",341
"306","Posavska",2009,"Živorojeni - ženske",318
"307","Posavska",2010,"Živorojeni - moški",360
"308","Posavska",2010,"Živorojeni - ženske",363
"309","Posavska",2011,"Živorojeni - moški",359
"310","Posavska",2011,"Živorojeni - ženske",363
"311","Posavska",2012,"Živorojeni - moški",359
"312","Posavska",2012,"Živorojeni - ženske",363
"313","Posavska",2013,"Živorojeni - moški",355
"314","Posavska",2013,"Živorojeni - ženske",354
"315","Posavska",2014,"Živorojeni - moški",387
"316","Posavska",2014,"Živorojeni - ženske",320
"317","Posavska",2015,"Živorojeni - moški",399
"318","Posavska",2015,"Živorojeni - ženske",394
"319","Posavska",2016,"Živorojeni - moški",378
"320","Posavska",2016,"Živorojeni - ženske",349
"321","Posavska",2017,"Živorojeni - moški",412
"322","Posavska",2017,"Živorojeni - ženske",365
"323","Jugovzhodna Slovenija",1995,"Živorojeni - moški",757
"324","Jugovzhodna Slovenija",1995,"Živorojeni - ženske",743
"325","Jugovzhodna Slovenija",1996,"Živorojeni - moški",701
"326","Jugovzhodna Slovenija",1996,"Živorojeni - ženske",668
"327","Jugovzhodna Slovenija",1997,"Živorojeni - moški",741
"328","Jugovzhodna Slovenija",1997,"Živorojeni - ženske",658
"329","Jugovzhodna Slovenija",1998,"Živorojeni - moški",683
"330","Jugovzhodna Slovenija",1998,"Živorojeni - ženske",691
"331","Jugovzhodna Slovenija",1999,"Živorojeni - moški",659
"332","Jugovzhodna Slovenija",1999,"Živorojeni - ženske",640
"333","Jugovzhodna Slovenija",2000,"Živorojeni - moški",685
"334","Jugovzhodna Slovenija",2000,"Živorojeni - ženske",673
"335","Jugovzhodna Slovenija",2001,"Živorojeni - moški",686
"336","Jugovzhodna Slovenija",2001,"Živorojeni - ženske",707
"337","Jugovzhodna Slovenija",2002,"Živorojeni - moški",694
"338","Jugovzhodna Slovenija",2002,"Živorojeni - ženske",607
"339","Jugovzhodna Slovenija",2003,"Živorojeni - moški",656
"340","Jugovzhodna Slovenija",2003,"Živorojeni - ženske",625
"341","Jugovzhodna Slovenija",2004,"Živorojeni - moški",652
"342","Jugovzhodna Slovenija",2004,"Živorojeni - ženske",643
"343","Jugovzhodna Slovenija",2005,"Živorojeni - moški",692
"344","Jugovzhodna Slovenija",2005,"Živorojeni - ženske",626
"345","Jugovzhodna Slovenija",2006,"Živorojeni - moški",718
"346","Jugovzhodna Slovenija",2006,"Živorojeni - ženske",693
"347","Jugovzhodna Slovenija",2007,"Živorojeni - moški",737
"348","Jugovzhodna Slovenija",2007,"Živorojeni - ženske",762
"349","Jugovzhodna Slovenija",2008,"Živorojeni - moški",849
"350","Jugovzhodna Slovenija",2008,"Živorojeni - ženske",735
"351","Jugovzhodna Slovenija",2009,"Živorojeni - moški",795
"352","Jugovzhodna Slovenija",2009,"Živorojeni - ženske",729
"353","Jugovzhodna Slovenija",2010,"Živorojeni - moški",853
"354","Jugovzhodna Slovenija",2010,"Živorojeni - ženske",802
"355","Jugovzhodna Slovenija",2011,"Živorojeni - moški",852
"356","Jugovzhodna Slovenija",2011,"Živorojeni - ženske",789
"357","Jugovzhodna Slovenija",2012,"Živorojeni - moški",814
"358","Jugovzhodna Slovenija",2012,"Živorojeni - ženske",818
"359","Jugovzhodna Slovenija",2013,"Živorojeni - moški",836
"360","Jugovzhodna Slovenija",2013,"Živorojeni - ženske",732
"361","Jugovzhodna Slovenija",2014,"Živorojeni - moški",866
"362","Jugovzhodna Slovenija",2014,"Živorojeni - ženske",766
"363","Jugovzhodna Slovenija",2015,"Živorojeni - moški",786
"364","Jugovzhodna Slovenija",2015,"Živorojeni - ženske",765
"365","Jugovzhodna Slovenija",2016,"Živorojeni - moški",843
"366","Jugovzhodna Slovenija",2016,"Živorojeni - ženske",743
"367","Jugovzhodna Slovenija",2017,"Živorojeni - moški",765
"368","Jugovzhodna Slovenija",2017,"Živorojeni - ženske",802
"369","Osrednjeslovenska",1995,"Živorojeni - moški",2451
"370","Osrednjeslovenska",1995,"Živorojeni - ženske",2330
"371","Osrednjeslovenska",1996,"Živorojeni - moški",2385
"372","Osrednjeslovenska",1996,"Živorojeni - ženske",2211
"373","Osrednjeslovenska",1997,"Živorojeni - moški",2408
"374","Osrednjeslovenska",1997,"Živorojeni - ženske",2175
"375","Osrednjeslovenska",1998,"Živorojeni - moški",2400
"376","Osrednjeslovenska",1998,"Živorojeni - ženske",2095
"377","Osrednjeslovenska",1999,"Živorojeni - moški",2316
"378","Osrednjeslovenska",1999,"Živorojeni - ženske",2089
"379","Osrednjeslovenska",2000,"Živorojeni - moški",2414
"380","Osrednjeslovenska",2000,"Živorojeni - ženske",2321
"381","Osrednjeslovenska",2001,"Živorojeni - moški",2243
"382","Osrednjeslovenska",2001,"Živorojeni - ženske",2137
"383","Osrednjeslovenska",2002,"Živorojeni - moški",2340
"384","Osrednjeslovenska",2002,"Živorojeni - ženske",2181
"385","Osrednjeslovenska",2003,"Živorojeni - moški",2330
"386","Osrednjeslovenska",2003,"Živorojeni - ženske",2160
"387","Osrednjeslovenska",2004,"Živorojeni - moški",2468
"388","Osrednjeslovenska",2004,"Živorojeni - ženske",2281
"389","Osrednjeslovenska",2005,"Živorojeni - moški",2526
"390","Osrednjeslovenska",2005,"Živorojeni - ženske",2413
"391","Osrednjeslovenska",2006,"Živorojeni - moški",2768
"392","Osrednjeslovenska",2006,"Živorojeni - ženske",2466
"393","Osrednjeslovenska",2007,"Živorojeni - moški",2894
"394","Osrednjeslovenska",2007,"Živorojeni - ženske",2676
"395","Osrednjeslovenska",2008,"Živorojeni - moški",3161
"396","Osrednjeslovenska",2008,"Živorojeni - ženske",3073
"397","Osrednjeslovenska",2009,"Živorojeni - moški",3237
"398","Osrednjeslovenska",2009,"Živorojeni - ženske",2989
"399","Osrednjeslovenska",2010,"Živorojeni - moški",3303
"400","Osrednjeslovenska",2010,"Živorojeni - ženske",3110
"401","Osrednjeslovenska",2011,"Živorojeni - moški",3258
"402","Osrednjeslovenska",2011,"Živorojeni - ženske",3022
"403","Osrednjeslovenska",2012,"Živorojeni - moški",3232
"404","Osrednjeslovenska",2012,"Živorojeni - ženske",3090
"405","Osrednjeslovenska",2013,"Živorojeni - moški",3063
"406","Osrednjeslovenska",2013,"Živorojeni - ženske",2941
"407","Osrednjeslovenska",2014,"Živorojeni - moški",3085
"408","Osrednjeslovenska",2014,"Živorojeni - ženske",2937
"409","Osrednjeslovenska",2015,"Živorojeni - moški",2953
"410","Osrednjeslovenska",2015,"Živorojeni - ženske",2792
"411","Osrednjeslovenska",2016,"Živorojeni - moški",2830
"412","Osrednjeslovenska",2016,"Živorojeni - ženske",2763
"413","Osrednjeslovenska",2017,"Živorojeni - moški",2903
"414","Osrednjeslovenska",2017,"Živorojeni - ženske",2737
"415","Gorenjska",1995,"Živorojeni - moški",1027
"416","Gorenjska",1995,"Živorojeni - ženske",940
"417","Gorenjska",1996,"Živorojeni - moški",1053
"418","Gorenjska",1996,"Živorojeni - ženske",985
"419","Gorenjska",1997,"Živorojeni - moški",997
"420","Gorenjska",1997,"Živorojeni - ženske",970
"421","Gorenjska",1998,"Živorojeni - moški",986
"422","Gorenjska",1998,"Živorojeni - ženske",914
"423","Gorenjska",1999,"Živorojeni - moški",1008
"424","Gorenjska",1999,"Živorojeni - ženske",938
"425","Gorenjska",2000,"Živorojeni - moški",1053
"426","Gorenjska",2000,"Živorojeni - ženske",927
"427","Gorenjska",2001,"Živorojeni - moški",1009
"428","Gorenjska",2001,"Živorojeni - ženske",891
"429","Gorenjska",2002,"Živorojeni - moški",967
"430","Gorenjska",2002,"Živorojeni - ženske",968
"431","Gorenjska",2003,"Živorojeni - moški",951
"432","Gorenjska",2003,"Živorojeni - ženske",869
"433","Gorenjska",2004,"Živorojeni - moški",1015
"434","Gorenjska",2004,"Živorojeni - ženske",1007
"435","Gorenjska",2005,"Živorojeni - moški",1032
"436","Gorenjska",2005,"Živorojeni - ženske",920
"437","Gorenjska",2006,"Živorojeni - moški",1101
"438","Gorenjska",2006,"Živorojeni - ženske",1029
"439","Gorenjska",2007,"Živorojeni - moški",1114
"440","Gorenjska",2007,"Živorojeni - ženske",1042
"441","Gorenjska",2008,"Živorojeni - moški",1169
"442","Gorenjska",2008,"Živorojeni - ženske",1112
"443","Gorenjska",2009,"Živorojeni - moški",1191
"444","Gorenjska",2009,"Živorojeni - ženske",1135
"445","Gorenjska",2010,"Živorojeni - moški",1243
"446","Gorenjska",2010,"Živorojeni - ženske",1179
"447","Gorenjska",2011,"Živorojeni - moški",1180
"448","Gorenjska",2011,"Živorojeni - ženske",1132
"449","Gorenjska",2012,"Živorojeni - moški",1252
"450","Gorenjska",2012,"Živorojeni - ženske",1024
"451","Gorenjska",2013,"Živorojeni - moški",1162
"452","Gorenjska",2013,"Živorojeni - ženske",1094
"453","Gorenjska",2014,"Živorojeni - moški",1126
"454","Gorenjska",2014,"Živorojeni - ženske",1023
"455","Gorenjska",2015,"Živorojeni - moški",1117
"456","Gorenjska",2015,"Živorojeni - ženske",1042
"457","Gorenjska",2016,"Živorojeni - moški",1037
"458","Gorenjska",2016,"Živorojeni - ženske",1061
"459","Gorenjska",2017,"Živorojeni - moški",1123
"460","Gorenjska",2017,"Živorojeni - ženske",938
"461","Primorsko-notranjska",1995,"Živorojeni - moški",216
"462","Primorsko-notranjska",1995,"Živorojeni - ženske",230
"463","Primorsko-notranjska",1996,"Živorojeni - moški",248
"464","Primorsko-notranjska",1996,"Živorojeni - ženske",227
"465","Primorsko-notranjska",1997,"Živorojeni - moški",217
"466","Primorsko-notranjska",1997,"Živorojeni - ženske",200
"467","Primorsko-notranjska",1998,"Živorojeni - moški",214
"468","Primorsko-notranjska",1998,"Živorojeni - ženske",208
"469","Primorsko-notranjska",1999,"Živorojeni - moški",217
"470","Primorsko-notranjska",1999,"Živorojeni - ženske",236
"471","Primorsko-notranjska",2000,"Živorojeni - moški",207
"472","Primorsko-notranjska",2000,"Živorojeni - ženske",232
"473","Primorsko-notranjska",2001,"Živorojeni - moški",232
"474","Primorsko-notranjska",2001,"Živorojeni - ženske",215
"475","Primorsko-notranjska",2002,"Živorojeni - moški",214
"476","Primorsko-notranjska",2002,"Živorojeni - ženske",190
"477","Primorsko-notranjska",2003,"Živorojeni - moški",250
"478","Primorsko-notranjska",2003,"Živorojeni - ženske",215
"479","Primorsko-notranjska",2004,"Živorojeni - moški",211
"480","Primorsko-notranjska",2004,"Živorojeni - ženske",244
"481","Primorsko-notranjska",2005,"Živorojeni - moški",262
"482","Primorsko-notranjska",2005,"Živorojeni - ženske",233
"483","Primorsko-notranjska",2006,"Živorojeni - moški",216
"484","Primorsko-notranjska",2006,"Živorojeni - ženske",257
"485","Primorsko-notranjska",2007,"Živorojeni - moški",289
"486","Primorsko-notranjska",2007,"Živorojeni - ženske",218
"487","Primorsko-notranjska",2008,"Živorojeni - moški",281
"488","Primorsko-notranjska",2008,"Živorojeni - ženske",280
"489","Primorsko-notranjska",2009,"Živorojeni - moški",294
"490","Primorsko-notranjska",2009,"Živorojeni - ženske",258
"491","Primorsko-notranjska",2010,"Živorojeni - moški",303
"492","Primorsko-notranjska",2010,"Živorojeni - ženske",268
"493","Primorsko-notranjska",2011,"Živorojeni - moški",292
"494","Primorsko-notranjska",2011,"Živorojeni - ženske",315
"495","Primorsko-notranjska",2012,"Živorojeni - moški",298
"496","Primorsko-notranjska",2012,"Živorojeni - ženske",272
"497","Primorsko-notranjska",2013,"Živorojeni - moški",300
"498","Primorsko-notranjska",2013,"Živorojeni - ženske",284
"499","Primorsko-notranjska",2014,"Živorojeni - moški",263
"500","Primorsko-notranjska",2014,"Živorojeni - ženske",274
"501","Primorsko-notranjska",2015,"Živorojeni - moški",286
"502","Primorsko-notranjska",2015,"Živorojeni - ženske",259
"503","Primorsko-notranjska",2016,"Živorojeni - moški",265
"504","Primorsko-notranjska",2016,"Živorojeni - ženske",240
"505","Primorsko-notranjska",2017,"Živorojeni - moški",279
